ProductId,SKU,Name,Brand,Category,Description,Price,SalePrice,Currency,Weight,WeightUnit,InStock,StockQuantity,Rating,ReviewCount,Color,Condition,Tags,ImageUrl,DateAdded
81,SKU-0081-168,E-Reader with Warm Light,NovaTech,Electronics,"7-inch e-ink reader with adjustable warm light, IPX8 waterproofing, and 32GB storage. Battery lasts 6 weeks. Reads ePub, PDF, and Kindle formats.",76.78,,USD,11.24,kg,TRUE,94,4.9,74,Forest Green,Refurbished,budget,https://cdn.example.com/products/sku-0081-168.jpg,2025-01-14
82,SKU-0082-889,Potting Bench,UrbanEdge,Home & Garden,"Wooden potting bench with lower shelf, hooks, and dry sink basin. Weather-treated fir wood. 44 inches wide, easy assembly.",42.52,,USD,14.07,kg,TRUE,89,3.1,888,Black,Open Box,eco-friendly;bestseller;staff-pick;trending,https://cdn.example.com/products/sku-0082-889.jpg,2025-05-13
83,SKU-0083-427,Camping Cookware Set,CoreBliss,Sports & Outdoors,"Lightweight anodized aluminum cookware set with pot, pan, kettle, and utensils. Nests compactly into mesh carry bag. Serves 2-3 people.",244.44,,USD,14.43,kg,FALSE,0,3.1,126,Charcoal,New,limited-edition;premium,https://cdn.example.com/products/sku-0083-427.jpg,2025-10-19
84,SKU-0084-718,Sous Vide Precision Cooker,TrueNorth,Kitchen,WiFi-enabled immersion circulator with 0.1°F temperature accuracy. 1100W heats up to 10 gallons. Clamp or magnetic mount.,166.85,,USD,4.44,kg,TRUE,350,4.6,1972,Navy,Open Box,bestseller,https://cdn.example.com/products/sku-0084-718.jpg,2025-07-21
85,SKU-0085-631,Natural Deodorant,PrimeCraft,Health & Beauty,"Aluminum-free deodorant with activated charcoal and magnesium. Baking soda-free formula for sensitive skin. 75g stick, lasts 2 months.",134.31,,USD,3.59,kg,TRUE,119,4.7,2353,Silver,Open Box,new-arrival;staff-pick;trending,https://cdn.example.com/products/sku-0085-631.jpg,2025-02-17
86,SKU-0086-716,Giant Floor Puzzle,TrueNorth,Toys & Games,48-piece floor puzzle depicting a world map with animals and landmarks. Pieces sized for small hands. 3x2 feet when assembled. Ages 4+.,271.51,,USD,14.49,kg,FALSE,0,3.9,457,Sand,New,clearance,https://cdn.example.com/products/sku-0086-716.jpg,2025-12-05
87,SKU-0087-350,Roof Cargo Box,UrbanEdge,Automotive,"18 cubic foot aerodynamic rooftop cargo box. Universal mount fits most crossbars. Dual-side opening, lockable, weatherproof.",187.3,,USD,12.04,kg,FALSE,0,3.4,2037,Sand,New,new-arrival;trending;budget,https://cdn.example.com/products/sku-0087-350.jpg,2025-07-05
88,SKU-0088-335,Desk Organizer Caddy,CoreBliss,Office Supplies,"Bamboo desktop organizer with 8 compartments, phone holder, and drawer. Fits pens, sticky notes, and business cards.",90.56,,USD,10.95,kg,FALSE,0,4.8,1174,White,Refurbished,limited-edition;staff-pick,https://cdn.example.com/products/sku-0088-335.jpg,2025-02-22
89,SKU-0089-856,Cat Tree Tower,PrimeCraft,Pet Supplies,"68-inch multi-level cat tree with sisal scratching posts, plush condos, and dangling toys. Supports multiple cats. Anti-tip wall anchor.",74.44,,USD,5.15,kg,TRUE,272,3.5,1132,Slate Gray,Open Box,eco-friendly;new-arrival,https://cdn.example.com/products/sku-0089-856.jpg,2025-03-12
90,SKU-0090-208,Thermal Socks,CoreBliss,Clothing,Heavy-weight merino wool thermal socks with cushioned sole and arch support. Moisture-wicking with reinforced heel and toe.,42.69,,USD,3.32,kg,TRUE,408,3.4,637,Pearl,Refurbished,clearance;new-arrival;staff-pick,https://cdn.example.com/products/sku-0090-208.jpg,2025-07-14
91,SKU-0091-489,Mesh WiFi System,ZenithPro,Electronics,"Tri-band WiFi 6E mesh system covering up to 7,500 sq ft. 3-pack with 2.5GbE ports. Parental controls and IoT network isolation.",73.51,69.7,USD,2.54,kg,FALSE,0,3.3,796,Sand,Open Box,staff-pick;limited-edition;gift-idea,https://cdn.example.com/products/sku-0091-489.jpg,2025-01-11
92,SKU-0092-794,Electric Lawn Mower,CoreBliss,Home & Garden,"40V cordless push mower with 20-inch deck. 5 height settings, mulch/bag/side-discharge. Includes 2 batteries, 45 min runtime.",13.97,,USD,1.07,kg,TRUE,183,3.7,1077,Charcoal,Refurbished,premium,https://cdn.example.com/products/sku-0092-794.jpg,2025-06-10
93,SKU-0093-189,Trekking Poles,EcoVibe,Sports & Outdoors,Collapsible carbon fiber trekking poles with cork grips and tungsten tips. Adjustable 24-55 inches. Weighs 7oz each.,140.19,122.66,USD,8.92,kg,FALSE,0,4.9,1683,Navy,Refurbished,clearance;gift-idea;limited-edition;eco-friendly,https://cdn.example.com/products/sku-0093-189.jpg,2025-05-01
94,SKU-0094-245,Cold Brew Coffee Maker,CoreBliss,Kitchen,64oz cold brew pitcher with fine-mesh stainless steel filter. Brews smooth concentrate in 12-24 hours. BPA-free Tritan plastic.,17.97,,USD,8.4,kg,FALSE,0,3.3,1291,Black,Open Box,trending;new-arrival;budget;clearance,https://cdn.example.com/products/sku-0094-245.jpg,2025-03-12
95,SKU-0095-367,Jade Roller and Gua Sha Set,PrimeCraft,Health & Beauty,Genuine jade facial roller and gua sha tool for lymphatic drainage and reduced puffiness. Comes in silk-lined gift box.,222.44,178.22,USD,13.79,kg,FALSE,0,4.5,1519,Sand,New,limited-edition;budget;gift-idea;eco-friendly,https://cdn.example.com/products/sku-0095-367.jpg,2025-04-27
96,SKU-0096-605,Art Supply Kit,EcoVibe,Toys & Games,"150-piece deluxe art set with colored pencils, watercolors, oil pastels, markers, and sketch pad. Wooden carrying case. Ages 7+.",118.41,,USD,11.59,kg,TRUE,410,5.0,2217,Black,New,gift-idea;staff-pick;premium,https://cdn.example.com/products/sku-0096-605.jpg,2025-06-19
97,SKU-0097-867,Emergency Roadside Kit,PeakLine,Automotive,"Comprehensive roadside emergency kit with jumper cables, first aid, flashlight, reflective triangles, tire gauge, and rain poncho.",109.62,79.38,USD,0.39,kg,FALSE,0,3.6,2279,White,New,premium;limited-edition,https://cdn.example.com/products/sku-0097-867.jpg,2025-01-26
98,SKU-0098-710,Ergonomic Mouse,ZenithPro,Office Supplies,"Vertical ergonomic mouse with adjustable DPI, silent clicks, and rechargeable battery. Reduces wrist strain with natural hand position.",232.44,,USD,7.83,kg,TRUE,49,5.0,423,Black,New,gift-idea;staff-pick;bestseller;trending,https://cdn.example.com/products/sku-0098-710.jpg,2025-08-19
99,SKU-0099-933,Dog Harness with Handle,ZenithPro,Pet Supplies,No-pull front-clip harness with padded chest plate and top handle. Reflective stitching for nighttime visibility. Adjustable 4 points.,233.51,216.13,USD,5.72,kg,FALSE,0,5.0,1776,Midnight Blue,Refurbished,gift-idea;limited-edition,https://cdn.example.com/products/sku-0099-933.jpg,2025-10-26
100,SKU-0100-867,Bamboo Cutting Board Set,PrimeCraft,Kitchen,"Set of 3 organic bamboo cutting boards with juice grooves and easy-grip handles. Naturally antimicrobial surface, knife-friendly, and dishwasher safe.",27.89,,USD,1.8,kg,TRUE,234,4.6,799,Sand,New,eco-friendly;bestseller,https://cdn.example.com/products/sku-0100.jpg,2025-06-15
